id;title;description;created_date;updated_date;priority;impact;status;fecha_entrega;observaciones;archivo_adjunto;archivo_adjunto_content_type;solicitante;departamento
1;vice;wonderfully;2026-01-20;2026-01-21;BAJA;BAJO;to disgorge aha;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;uh-huh likewise;by besides circa
2;once;versus pfft motivate;2026-01-20;2026-01-20;ALTA;MEDIO;doodle hm;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;book lustrous;boldly absolve
3;among usefully solemnly;hospitalization;2026-01-21;2026-01-20;ALTA;ALTO;about release inasmuch;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;meaningfully tiny quarrel;tool
4;roughly stock raw;beneath reflate;2026-01-20;2026-01-20;MEDIA;ALTO;ack delirious;2026-01-21;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;motor surge phooey;riser kissingly
5;circa;even;2026-01-20;2026-01-20;ALTA;ALTO;duh sans;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;anti than annually;charm qua
6;embed dimly ditch;for whenever oh;2026-01-21;2026-01-20;BAJA;ALTO;perspire drat lest;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;against instead slowly;ligate whether
7;sleepily;astride drat;2026-01-21;2026-01-20;ALTA;BAJO;when blissfully;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;oof short rebuff;multicolored insolence
8;goat scorn carp;meanwhile exhaust a;2026-01-20;2026-01-20;ALTA;ALTO;voluminous;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;buttery adaptation unlawful;embody colorfully
9;deflate;victoriously concerning typify;2026-01-20;2026-01-20;MEDIA;BAJO;since;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;yellowish trained;t-shirt less bench
10;oof once kaleidoscopic;faithfully dearly pish;2026-01-20;2026-01-20;MEDIA;ALTO;roger furthermore for;2026-01-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;chunder;why cellar
