id;name;code;catalogue_code;active
1;disrespect;interchange paintwork;fairly;true
2;hornet;brr;soon footrest;true
3;however after;naturally pro if;although pants;false
4;than inasmuch absent;hmph adult advancement;republican liquid cross;true
5;hence border;lovely cheerfully;given even gadzooks;true
6;siege difficult gah;footrest finally;first ravel;false
7;whereas;keenly mount knickers;dutiful coarse;false
8;procurement planula scheme;blah;supposing;false
9;closely transparency vainly;ignorance anenst formamide;outrun neatly chase;false
10;beneath;tune;awkwardly;false
